continent,week,avg_confirmed,max_confirmed,min_confirmed,stdev_confirmed
AFRICA,5,0.0,0.0,0.0,0.0
AFRICA,6,0.0,0.0,0.0,0.0
AFRICA,7,0.14285714285714288,1.0,0.0,0.3779644730092272
AFRICA,8,0.0,0.0,0.0,0.0
AFRICA,9,0.42857142857142855,1.0,0.0,0.5345224838248487
AFRICA,10,10.857142857142858,39.0,0.0,13.752921767495703
AFRICA,11,28.71428571428571,68.0,8.0,24.492953311202836
AFRICA,12,125.71428571428572,214.0,61.0,52.674200787211085
AFRICA,13,385.14285714285717,474.0,244.0,85.25926845301252
AFRICA,14,522.2857142857143,764.0,354.0,131.40866826521793
AFRICA,15,604.7142857142857,754.0,528.0,81.18849320298676
AFRICA,16,986.7142857142857,1251.0,711.0,226.07868415348543
AFRICA,17,1247.857142857143,1457.0,1015.0,191.57194346722468
AFRICA,18,1671.5714285714287,2054.0,1272.0,272.59974146653013
AFRICA,19,2511.5714285714284,3436.0,1802.0,501.78476698775177
AFRICA,20,2818.1428571428573,3168.0,2512.0,221.25809105463887
AMERICA,5,0.8571428571428571,4.0,0.0,1.4638501094227998
AMERICA,6,0.8571428571428571,3.0,0.0,1.2149857925879117
AMERICA,7,0.2857142857142857,1.0,0.0,0.48795003647426666
AMERICA,8,0.5714285714285715,3.0,0.0,1.1338934190276817
AMERICA,9,12.571428571428571,37.0,1.0,12.817398889233116
AMERICA,10,77.85714285714286,152.0,26.0,53.35862495551078
AMERICA,11,519.4285714285714,930.0,89.0,279.4368486455435
AMERICA,12,5014.428571428572,9216.0,1521.0,3146.205325845876
AMERICA,13,17290.714285714286,22303.0,11667.0,4670.768342014181
AMERICA,14,31740.14285714286,36533.0,23564.0,4554.438254002771
AMERICA,15,36794.857142857145,41206.0,32913.0,3506.3423691253843
AMERICA,16,36139.71428571428,40653.0,31509.0,3921.743690175146
AMERICA,17,40749.57142857143,56960.0,33168.0,8197.437442216173
AMERICA,18,41691.57142857143,49658.0,32239.0,5571.131538480097
AMERICA,19,42595.42857142857,47920.0,35433.0,4841.205389058351
AMERICA,20,45007.71428571428,55239.0,32510.0,8423.958703489425
ASIA,5,8.142857142857142,14.0,2.0,3.9761191895520196
ASIA,6,7.571428571428571,16.0,0.0,6.425396041156863
ASIA,7,11.142857142857142,22.0,3.0,7.470577207252718
ASIA,8,21.571428571428573,44.0,10.0,12.607631853460067
ASIA,9,174.42857142857142,429.0,36.0,131.8646492214108
ASIA,10,892.0,1383.0,570.0,302.6081074040593
ASIA,11,1371.857142857143,1793.0,666.0,411.53348530078273
ASIA,12,2104.285714285714,2774.0,1520.0,429.42004078590867
ASIA,13,5494.285714285715,7256.0,2994.0,1763.5125662803118
ASIA,14,8924.42857142857,9748.0,7064.0,913.4341532814242
ASIA,15,11993.42857142857,13635.0,10470.0,1328.1501994808239
ASIA,16,15800.857142857143,18973.0,13675.0,1802.6326514824023
ASIA,17,18120.285714285714,19781.0,16694.0,1041.1072173869693
ASIA,18,20044.714285714286,23485.0,17662.0,2223.9824425480306
ASIA,19,26344.285714285714,28728.0,24402.0,1550.5232143038806
ASIA,20,28680.285714285714,31010.0,27640.0,1341.546335923054
EUROPE,5,2.857142857142857,6.0,0.0,2.193062655175134
EUROPE,6,1.8571428571428572,5.0,0.0,1.7728105208558367
EUROPE,7,1.2857142857142858,5.0,0.0,1.7994708216848745
EUROPE,8,21.71428571428571,93.0,0.0,35.122235529240285
EUROPE,9,285.42857142857144,735.0,78.0,224.22745679544326
EUROPE,10,1408.4285714285713,2516.0,514.0,761.4720080525739
EUROPE,11,5994.428571428572,13909.0,659.0,4449.071620654615
EUROPE,12,16169.57142857143,21184.0,10604.0,4421.50814606445
EUROPE,13,30284.714285714286,35978.0,23340.0,4992.679765225808
EUROPE,14,33202.0,36139.0,28839.0,2763.6896231909495
EUROPE,15,33421.142857142855,50397.0,25933.0,8303.881972278014
EUROPE,16,27238.14285714286,39635.0,19031.0,6601.755130987805
EUROPE,17,20378.14285714286,24095.0,16706.0,2230.704629227532
EUROPE,18,15518.42857142857,17286.0,11832.0,1798.331713667129
EUROPE,19,13507.142857142857,18093.0,10472.0,2773.833233906431
EUROPE,20,10423.0,12456.0,8506.0,1294.1388385074197

